nom,iata,icao
Nörvenich Air Base,,ETNN
Vancouver International Airport,YVR,CYVR
Sharm el-Sheikh International Airport,SSH
Lucius D. Clay Kaserne,,ETOU
Denver International Airport,DEN,KDEN
Kenneth Kaunda International Airport,LUN,FLKK
Gagarin International Airport,GSV,UWSG
Uljin Airport,UJN,RKTL
Muan International Airport,MWX,RKJB
Jeonju Airport,CHN,RKJU
Yeosu Airport,RSU,RKJY
Pohang Airport,KPO,RKTH
Ulsan Airport,USN,RKPU
Gwangju Airport,KWJ,RKJJ
Seongmu Airport,,RKTE
Sacheon Airport
Wonsan Airport,WOS,ZKWS
Pullman-Moscow Regional Airport,PUW,KPUW
Jūrmala Airport,,EVJA
Mokpo Airport,MPK,RKJM
Gunsan Airport,KUV,RKJK
Madrid-Torrejón Airport,TOJ,LETO
Andrau Airpark,,KAAP
Ranong Airport,UNN,VTSR
Marechal Cunha Machado International Airport,SLZ,SBSL
Fresno Chandler Executive Airport,FCH,KFCH
Waskaganish Airport,YKQ,CYKQ
Cochin International Airport,COK,VOCI
Alexandria International Airport,AEX,KAEX
Quiché Airport,AQB,MGQC
Ingeniero Jacobacci Airport,IGB,SAVJ
Kitakyushu Airport,KKJ,RJFR
Blue Ridge Airport,,KMTV
Bishop Municipal Airport,,
Bloyer Field,,
Black Hills Airport,SPF,KSPF
Blaine Municipal Airport,,
Reno–Tahoe International Airport,RNO,KRNO
Bíldudalur Airport,BIU,BIBD
Billy Mitchell Airport
Birchwood Airport,,PABV
Blairstown Airport,,
Biliran Airport,,RPVQ
Fascene Airport,NOS,FMNN
Gualeguaychú Airport,GHU,SAAG
Nyingchi Mainling Airport,LZY,ZUNZ
Gällivare Airport,GEV,ESNG
Krabi Airport,KBV,VTSG
Kindu Airport,KND,FZOA
Kokkola-Pietarsaari Airport,KOK,EFKK
Luzamba Airport,LZM,FNLZ
Maquela Airport,,FNMQ
Faleolo International Airport,APW,NSFA
Uíge Airport,UGO,FNUG
Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,COR,SACO
El Dorado International Airport,BOG,SKBO
Old Phu Quoc Airport,PQC,VVPQ
Tokyo International Airport
Ministro Pistarini International Airport,EZE,SAEZ
Hurghada International Airport
Sri Guru Ram Dass Jee International Airport,ATQ,VIAR
Grenora Centennial Airport,,
Pantelleria Airport,PNL,LICG
Bhavnagar Airport,BHU,VABV
Philadelphia International Airport,PHL,KPHL
Bajura Airport,BJU,VNBR
Treviso Airport,TSF,LIPH
Lavrentiya Airport,,UHML
Mehrabad International Airport,THR,OIII
Léopold Sédar Senghor International Airport,DKR,GOOY
Tulsa International Airport,TUL,KTUL
Bern Airport,BRN,LSZB
Benito Salas Airport,NVA,SKNV
Berlevåg Airport,BVG,ENBV
Benin Airport,BNI,DNBE
Berens River Airport,YBV,CYBV
Benham Airport,,
Betz Airport,,
Bernam River Airfield,,WMBR
Beverley/Linley Hill Airfield,,EGNY
Bernard's Airport,,
Biddeford Municipal Airport,,
Benjina Airport,BJK,WAPK
Big Creek Airport,,
Benson Municipal Airport,,
Big Beaver Airport,,
Big Sandy Regional Airport,,KSJS
Big Sand Lake Airport,,
Big Muddy Ranch Airport,,
Bergerac Dordogne Périgord Airport,EGC,LFBE
Benguela Airport,BUG,FNBG
Bethel Airport,BET,PABE
Bharatpur Airport,BHR,VNBP
San Diego International Airport,SAN,KSAN
Kushiro Airport,KUH,RJCK
Lashio Airport,LSH,VYLS
Szeged Airport,QZD,LHUD
Angling Lake/Wapekeka Airport,YAX,CKB6
Aeropuerto Nacional de Tamuín,TSL,MMTN
Koltsovo Airport,SVX,USSS
Santa Barbara Municipal Airport,SBA,KSBA
Afobaka Airstrip,,SMAF
Il Caravaggio International Airport,BGY,LIME
Khanty-Mansiysk Airport
Kuujjuaq Airport,YVP,CYVP
Ta'izz International Airport,TAI,OYTZ
Asmara International Airport,ASM
Nnamdi Azikiwe International Airport,ABV,DNAA
Diyarbakır Airport,DIY,LTCC
Bentiu Airport,
Bezymyanka Airport,,UWWG
Benton Field,BZF,
Bettles Airport,BTT,PABT
Bicycle Lake Army Airfield,BYS,KBYS
Beru Island Airport,BEZ,NGBR
Bhadrapur Airport,BDP,VNCG
Big Creek Airport,BGK,MZBG
Białystok-Krywlany Airport,,EPBK
Bensbach Airport,BSP,AYBH
Bero Field,,
Bethlehem Airport,,FABM
Bibb County Airport,,K0A8
Benton Municipal Airport,,
Bermejo Airport,BJO,SLBJ
Berlin Regional Airport,BML,KBML
Benjamín Rivera Noriega Airport,CPX,TJCP
Berdyansk Airport,ERD,UKDB
Biarritz – Anglet – Bayonne Airport,BIQ,LFBZ
Lublin Airport,LUZ,EPLB
Ahvaz General Ghasem Soleimani International Airport,AWZ,OIAW
Oita Airport,OIT,RJFO
Takamatsu Airport,TAK,RJOT
Akita Airport,AXT,RJSK
Pangborn Memorial Airport,EAT,KEAT
Castres–Mazamet Airport,DCM,LFCK
Foligno Airport,,LIAF
Aarhus Airport,AAR,EKAH
Phitsanulok Airport,PHS,VTPP
Shakawe Airport,SWX,FBSW
San Pablo Airport,SVQ,LEZL
Cork Airport,ORK,EICK
Islay Airport,ILY,EGPI
Halifax Stanfield International Airport,YHZ,CYHZ
Kittilä Airport,KTT,EFKT
Luxor International Airport,LXR
Adıyaman Airport,ADF,LTCP
Adisucipto Airport,JOG,WAHH
Adisucipto Airport,JOG,WARJ
Adana Şakirpaşa Airport,ADA,LTAF
Agen La Garenne Airport,AGF,LFBA
Aktion National Airport,PVK,LGPZ
Albany International Airport,ALB,KALB
Akureyri Airport,AEY,BIAR
Alexandroupolis International Airport,AXD,LGAL
Amami Airport,ASJ,RJKA
Alta Airport,ALF,ENAT
Anaco Airport,AAO,SVAN
Anaa Airport,AAA,NTGA
Delta/Delta Heritage Air Park,,
Cookstown Airport,,
Coal Harbour Water Aerodrome,,
Dahio Trotwood Airport,,
Bella Bella Airport,ZEL,CBBC
Cottam Airport,,
Draughon-Miller Central Texas Regional Airport,TPL,KTPL
Digby/Annapolis Regional Airport,YDG,CYID
Comandante Gustavo Kraemer Airport,BGX,SBBG
Dolbeau-Saint-Félicien Airport,YDO,CYDO
Cochrane Water Aerodrome,,
Doris Lake Aerodrome,JOJ,
Clova/Lac Duchamp Water Aerodrome,,
Cochrane Airport,YCN,CYCN
Craik Airport,,
Dore Lake Airport,,
Deer Lake/Keyamawun Water Aerodrome,,
Déline Water Aerodrome,,
Kangerlussuaq Airport,SFJ,BGSF
Almería Airport,LEI,LEAM
Niederrhein Airport,NRN,EDLV
Aurora State Airport,UAO,KUAO
Siófok-Kiliti Airport,SFK,LHSK
Fort Lauderdale–Hollywood International Airport,FLL,KFLL
Agostinho Neto Airport,NTO,GVAN
Oran Ahmed Ben Bella Airport,ORN,DAOO
Bahrain International Airport,BAH,OBBI
Maradi Airport,MFQ,DRRM
Dunedin International Airport,DUD,NZDN
Kefalonia International Airport,EFL,LGKF
Kilimanjaro International Airport,JRO
Yao Airport,,RJOY
Saga Airport
Coronel FAP Alfredo Mendívil Duarte Airport,AYP,SPHO
Austin-Bergstrom International Airport,AUS,KAUS
Avignon – Caumont Airport,AVN,LFMV
Balakovo Airport,BWO,UWSB
Maramures International Airport,BAY,LRBM
Ban Huoeisay Airport
Be'er Sheva Airport,BEV,LLBS
Banja Luka International Airport,BNX,LQBK
Bastia – Poretta Airport,BIA,LFKB
Baucau Airport,BCH,WPEC
Aristides Pereira International Airport,BVC,GVBA
Boise Airport,BOI,KBOI
Braga Airport,BGZ,LPBR
Bragança Airport,BGC,LPBG
Branson Airport,BKG,KBBG
Flamingo International Airport,BON,TNCB
Bolshoye Savino Airport,PEE,USPP
Brescia Airport,VBS,LIPO
Benbecula Airport,BEB,EGPL
Ithaca Tompkins Regional Airport,ITH,KITH
John Wayne Airport,SNA,KSNA
Stokmarknes Airport,SKN,ENSK
Sandane Airport,SDN,ENSD
"Sogndal Airport, Haukåsen",SOG,ENSG
Svolvær Airport,SVJ,ENSH
Sandnessjøen Airport,SSJ,ENST
Stord Airport,SRP,ENSO
Kita Airport,,GAKT
Bougouni Airport,,GABG
Shire Airport,SHC,
Kabri Dar Airport,ABK
Dean Memorial Airport,,
Chevak Airport,VAK,PAVA
Chatham Municipal Airport,,KCQX
Chickasaw Municipal Airport,CHK,KCHK
David Wayne Hooks Memorial Airport,DWH,KDWH
Chifeng Yulong Airport,CIF,ZBCF
Deauville – Saint-Gatien Airport,DOL,LFRG
Daşoguz Airport,TAZ,UTAT
Chetumal International Airport,CTM,MMCM
Cheikh Larbi Tébessi Airport,TEE,DABS
Rukumkot Airport,RUK,VNCJ
Daytona Beach International Airport,DAB,KDAB
Dandong Langtou Airport,DDG,ZYDD
Daporijo Airport,DEP,VEDZ
Debert Airport,,
Cheltenham Racecourse Heliport,,EGBC
